"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I may fail final examination
No,I don't know,Missing the whole year without studies
No,I don't know,Repeating the same class next year
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,Corona virus infection fear
Yes,By following covid 19 measure and providing protection and wash facility,We need school to be reopen so that we don't me this year
Yes,Providing distancing and mask for the learner,The schools is important because it keeps children busy and learn news thing but at home there are many peer group. 
Yes,Following covid 19 measure,Yes we want schools to be reopen so that learner can continue.
No,I didn't know from the school authority,Corona virus infection fear
No,I don't think,Corona virus infection fear
No,Not knowing from the government,Corona virus infection fear
No, I don't know,Corona virus infection fear
,,
,,
,,
,,
,,
No,Because I don't know if they are prepared the measure in place,Corona virus infection fear
No,Not knowing,Corona virus infection fear
No,I don't know,Corona virus infection fear
No,School can not provide face mask.,Positive
Somewhat,Because there are good facilities in the school,Very positive
Somewhat,Because of the sanitation which is good.,Am very interested in returning
Yes,"There is sprayer in the school, water for washing hands and soap.",My aim is to go back to school and complete my studies.
Yes,Because there are handwashing facilities in the school and compound is clean.,Ready but I have already lost hope I don't know when the school will reopen for everyone.
Yes,Because there are facilities for hygiene in the school.,Am ready anytime.
No,I didn't know from school authority,I have no concerns
No,I don't know,Corona virus infection fear
No,I don't know from the government,Corona virus infection fear
No,I don't know from the school authority,Corona virus infection fear
No,I don't know,Corona virus infection fear
No,I don't know how the school authority do it,Corona virus infection fear
No,Not sure,Corona virus infection fear
No,I know not,Corona virus infection fear
No,I don't know from the government,Corona virus infection fear
No,It is school authority that know it's better,Corona virus infection fear
No,I don't know from the school,Corona virus infection fear
No,I don't know with the school authority,Corona virus infection fear
No,We will be observing social distancing and frequent hand washing with soap,Corona virus infection fear
No,I don't know from the school authority,Corona virus infection fear
No,Not knowing from the school authority,Corona virus infection fear
No,I don't know,Corona virus infection fear
No,I didn't know,Corona virus infection fear
